Name,Fertility,Photoperiod,Temperature,Rainfall,pH,Light_Hours,Light_Intensity,Rh,Nitrogen,Phosphorus,Potassium,Category_pH,Soil_Type,Season
Grapes,Moderate,Day Neutral,22.25863396,758.857175,6.887735129,12.72707888,529.4299798,93.09125087,137.7866282,60.07943066,135.869576,neutral,Loam,Fall
Cress,High,Day Neutral,15.32320123,1848.094043,6.689167871,11.28318634,205.2325303,45.75001416,89.91461866,124.533605,137.9679499,neutral,Loam,Winter
Potatoes,Moderate,Short Day Period,19.75634747,525.3849075,4.998084329,6.436212217,395.022858,67.48905743,207.7756872,101.5364402,172.8428846,strongly_acidic,Sandy Clay Loam,Fall
Potatoes,High,Day Neutral,19.84845622,496.0638825,5.762044984,6.519167369,476.6291957,70.93080918,224.8823533,111.11308,185.536034,moderately_acidic,Silt Loam,Fall
Broccoli,High,Short Day Period,17.7999254,800.6849967,6.782258417,5.651520014,568.8976092,57.52448798,98.76432797,113.7782329,182.0676145,neutral,Loam,Summer
Chard,Moderate,Day Neutral,23.7375113,816.5451115,6.436483039,12.6313225,919.1469767,41.55990954,171.7889602,293.3625763,214.3817042,slightly_acidic,Clay Loam,Summer
Tomatoes,High,Short Day Period,25.67444777,634.1516464,6.125504438,6.637670491,440.0124337,59.1840931,151.6658685,142.5105381,322.8791108,slightly_acidic,Sandy Loam,Spring
Chard,High,Day Neutral,20.06699519,709.7269493,6.399472253,12.31082802,899.4913193,47.27252244,153.4803053,239.3564153,409.8213577,slightly_acidic,Sandy Loam,Fall
Arugula,Moderate,Short Day Period,19.36986236,528.4321125,6.783331139,10.24154196,240.2603695,35.91326916,160.6411224,341.457905,164.3790552,neutral,Sandy Clay Loam,Spring
Lettuce,Moderate,Day Neutral,16.12196703,1341.095118,6.31394242,14.29961813,509.6070601,61.1354674,136.578347,41.88535495,225.4250911,slightly_acidic,Sandy Loam,Spring
Eggplants,High,Short Day Period,22.0065714,1332.834713,6.950411595,7.664227404,635.4110486,53.21906694,151.9364868,149.60874,212.4190522,neutral,Sandy Loam,Summer
Watermelon,High,Short Day Period,31.79010853,530.9578961,6.892121427,6.950461134,268.1180171,90.71618148,81.38681944,14.90381455,57.77537299,neutral,Clay Loam,Summer
Tomatoes,High,Short Day Period,20.63285483,496.2780524,6.224379595,6.899792072,407.5832407,63.45023685,127.8267648,161.2631909,313.5054782,slightly_acidic,Sandy Loam,Spring
Kale,High,Short Day Period,21.7486472,726.404886,5.914440155,8.408034659,76.75349341,94.56047199,163.7531796,59.2910325,113.614733,moderately_acidic,Loam,Winter
Tomatoes,High,Short Day Period,27.07465733,503.7253564,6.247031322,7.062219046,139.2185112,57.58812948,158.6335282,154.0645609,305.262156,slightly_acidic,Sandy Loam,Summer
Cress,High,Short Day Period,21.27843278,1529.683704,6.597686337,11.91172341,297.6520647,52.3517096,73.41978677,94.32752552,125.7242761,neutral,Silt Loam,Spring
Asparagus,Moderate,Short Day Period,21.75740212,868.409682,6.419790187,9.713318006,360.6711853,50.99436399,151.1609921,98.3326873,183.3121691,slightly_acidic,Sandy Loam,Spring
Lettuce,Moderate,Day Neutral,19.56087201,1253.257503,5.630259401,15.86223931,371.6162546,61.8102664,143.9837489,42.1806232,227.2411937,moderately_acidic,Loam,Fall
Spinach,High,Short Day Period,21.99904063,902.1196635,6.681222357,12.7531494,204.5847606,57.51400542,123.2744864,71.56313868,62.12456386,neutral,Sandy Loam,Spring
Strawberry,Moderate,Day Neutral,13.95107368,703.3905617,6.143477127,12.16667716,549.7337865,93.69567505,195.9051659,126.7417817,236.4388781,slightly_acidic,Loam,Spring
Cauliflowers,High,Short Day Period,17.47466408,1022.108839,7.049227164,6.684697345,510.7656377,55.78062452,132.1193879,86.92897692,195.2194251,neutral,Loam,Fall
Cauliflowers,High,Short Day Period,15.43873468,957.5562477,6.398844284,7.815869781,303.7085223,55.59030309,129.8273119,54.13419686,202.015241,slightly_acidic,Loam,Winter
Beet,Moderate,Short Day Period,18.3117222,727.6176369,6.831629355,6.70194132,107.0378493,99.88895882,116.4718439,153.9138665,93.57137402,neutral,Sandy Loam,Fall
Eggplants,High,Short Day Period,23.62771187,1536.121542,5.875319207,8.584926455,461.9465026,56.35927676,144.8539831,160.7969442,219.3531876,moderately_acidic,Silt Loam,Summer
Cress,Moderate,Short Day Period,17.54539781,1490.643881,6.106534097,10.52170107,342.2717324,44.28203596,82.57675616,135.6566608,63.36554087,slightly_acidic,Sandy Loam,Fall
Grapes,Moderate,Day Neutral,24.32435419,708.6249311,6.745275395,13.13961053,623.1501455,91.6134717,156.6015034,50.06461387,152.8614587,neutral,Sandy Clay Loam,Summer
Cress,High,Day Neutral,18.23380459,1231.897074,6.121603032,12.39497465,262.4825416,50.72796313,60.44369819,134.3010875,121.2245018,slightly_acidic,Loam,Fall
Cabbage,High,Short Day Period,19.40786201,580.3048506,6.99700953,6.759120572,357.4808676,64.80389689,115.3976922,74.34496734,184.2643245,neutral,Loam,Fall
Eggplants,High,Short Day Period,22.9328026,1397.539673,6.531307906,7.902804476,604.6705964,57.40942674,145.7079119,152.7440014,218.2882022,neutral,Clay Loam,Winter
Beet,High,Short Day Period,25.59037663,752.9556353,7.050174671,6.010547165,107.0405734,98.42477331,117.5535715,166.595545,117.1855808,neutral,Sandy Loam,Spring
Cress,High,Short Day Period,14.35521351,1419.606978,5.912347227,11.00200906,291.1131651,49.2876157,84.20116344,59.5417091,131.007948,moderately_acidic,Loam,Fall
Eggplants,High,Short Day Period,21.70492342,1296.421954,6.104352531,8.809286029,298.4372,51.68661402,143.5801728,156.0046129,228.6641368,slightly_acidic,Silt Loam,Spring
Kale,High,Short Day Period,16.05815826,776.7340638,5.632812563,10.8900804,79.52168634,96.41604285,188.81056,51.40565199,144.2519462,moderately_acidic,Clay Loam,Winter
Chard,High,Short Day Period,17.7070097,668.1182728,6.623844546,12.51119204,964.5162189,42.02489014,152.5612382,263.224828,299.5245416,neutral,Loam,Spring
Cucumbers,Moderate,Short Day Period,31.47158449,1179.462781,6.831766716,8.974725567,749.9576932,66.67915888,47.57285457,17.46708946,64.01999558,neutral,Sandy Loam,Summer
Green Peas,Moderate,Short Day Period,12.83210116,1003.878638,6.659146878,6.708902747,187.6852831,63.52573751,149.0483845,47.66514474,142.1412795,neutral,Sandy,Spring
Kale,High,Short Day Period,15.89364249,671.9359911,5.553075272,10.71310847,86.01993007,95.88149865,163.7280567,63.97414572,157.7229804,moderately_acidic,Silt Loam,Spring
Asparagus,High,Short Day Period,33.36024392,956.9159799,6.456177047,8.332488351,371.8434007,55.46790624,159.9038625,122.4795279,189.2850432,slightly_acidic,Loam,Spring
Kale,Moderate,Short Day Period,20.59120482,1085.492667,6.025047679,9.800988118,73.77867802,92.20261305,184.9578105,75.00301264,112.2047642,slightly_acidic,Loam,Winter
Green Peas,High,Short Day Period,16.32429087,1124.380541,5.898486319,6.448033116,364.22632,65.03522387,169.8792455,49.81119334,126.5889237,moderately_acidic,Loam,Fall
Grapes,Moderate,Short Day Period,19.62704244,827.0974852,5.3906313,13.26400382,632.3981946,95.40853959,129.3777154,60.00456713,152.7391638,strongly_acidic,Clay Loam,Summer
Radicchio,Moderate,Short Day Period,19.1903422,2273.031944,5.947970332,7.768713144,77.78617236,96.60008343,129.2535814,32.3608844,97.85353703,moderately_acidic,Loam,Spring
Eggplants,High,Short Day Period,22.81336914,1520.501365,4.930685899,8.739362297,618.3659763,57.4982903,146.1704021,153.3556908,229.8661428,strongly_acidic,Loam,Winter
Beet,High,Short Day Period,20.15413622,701.291578,6.670315225,6.546566702,108.8288249,99.19906304,128.5217717,159.3462876,119.5415567,neutral,Sandy Loam,Winter
Radicchio,Moderate,Short Day Period,12.82846741,1671.095145,7.064641395,7.252282136,278.0219312,96.90213629,133.9426097,39.69758871,95.81287008,neutral,Sandy Loam,Winter
Kale,High,Short Day Period,16.97298202,969.2242693,5.339953856,10.5946367,79.33617366,93.91703348,200.0567989,56.37539405,145.8241992,strongly_acidic,Loam,Winter
Strawberry,Moderate,Day Neutral,16.16502019,707.8707898,6.438081689,11.90969572,390.1806102,90.13073882,172.2308743,117.6695754,245.2611747,slightly_acidic,Loam,Summer
Potatoes,Moderate,Short Day Period,15.70348133,820.0365304,5.072010392,7.135074302,358.8861846,66.55491589,215.5359724,106.6448443,178.1094596,strongly_acidic,Sandy Loam,Winter
Spinach,High,Day Neutral,15.72504559,939.2329901,6.497340026,11.47608098,207.1609284,49.24105596,120.4837701,63.52163255,64.72889901,slightly_acidic,Sandy Loam,Winter
Green Peas,Moderate,Short Day Period,20.39834043,931.0527685,6.374469601,7.208501155,321.4440836,69.18782004,153.7891769,48.63255018,129.4192227,slightly_acidic,Sandy Loam,Winter
Beet,High,Day Neutral,19.94813328,653.1340673,6.579836268,6.004121435,118.4193921,99.68243978,88.21970724,164.0094675,103.8583808,neutral,Sandy Loam,Spring
Cabbage,High,Day Neutral,18.82087115,831.2100573,6.894945653,7.829442319,382.4609335,84.45468451,138.7822527,76.99651332,193.82934,neutral,Loam,Summer
Cauliflowers,Moderate,Short Day Period,17.8505452,789.4924669,6.548117496,6.660523565,229.3920864,54.25076887,145.5980281,69.31332516,187.5213221,neutral,Loam,Winter
Beet,High,Short Day Period,14.05452614,812.4201433,6.28343775,6.295747803,111.4067824,98.60670869,114.2980948,178.8655695,110.8045556,slightly_acidic,Sandy Loam,Spring
Beet,High,Short Day Period,21.14783756,718.9249486,6.185663759,6.333773189,111.1885646,98.80528163,116.3762208,168.5806735,105.9870512,slightly_acidic,Sandy Loam,Spring
Asparagus,Moderate,Short Day Period,18.95090713,864.1424581,6.279033171,8.746733357,371.6244324,41.55453776,170.2362674,97.51110968,181.8654509,slightly_acidic,Sandy Loam,Spring
Spinach,High,Short Day Period,18.83924244,1084.694825,6.734221805,11.92672851,227.8205495,56.92061171,120.856478,79.87144753,58.77817282,neutral,Sandy Loam,Summer
Kale,High,Short Day Period,18.50431367,1005.71357,5.705183476,9.414588391,86.48506708,96.28934894,180.6262621,56.43910827,101.5136905,moderately_acidic,Loam,Fall
Potatoes,Moderate,Short Day Period,22.50189006,553.4294014,6.033144985,5.815952404,350.8367119,74.85049256,251.8394883,118.6390968,219.1362614,slightly_acidic,Silt Loam,Fall
Lettuce,Moderate,Day Neutral,14.14651726,1234.606244,6.131085052,14.27427023,459.8105342,70.00453592,145.3040928,47.71822531,251.2389687,slightly_acidic,Sandy Loam,Fall
Grapes,Moderate,Short Day Period,27.42593114,814.9270206,6.002789514,13.33821071,547.8873974,94.13841311,127.1533181,67.1421127,122.5989847,slightly_acidic,Loam,Winter
Strawberry,Moderate,Short Day Period,17.1813032,791.3079588,6.235844728,12.51794289,546.9981075,91.47461271,159.9219217,119.342497,248.9814695,slightly_acidic,Silt Loam,Winter
Cabbage,High,Day Neutral,15.85629759,569.2645602,6.789285322,6.745576902,419.4229109,72.86959605,126.1579361,92.99542311,184.8923767,neutral,Loam,Winter
Potatoes,Moderate,Day Neutral,23.70757286,704.591357,5.572814453,6.123460327,363.7876901,72.43334084,253.444694,92.74323131,200.5417942,moderately_acidic,Loam,Fall
Cress,High,Short Day Period,18.14859539,1460.602439,6.911981341,11.17384108,294.1162842,45.74430448,137.3838697,109.499914,98.75164673,neutral,Silt Loam,Spring
Arugula,Moderate,Day Neutral,19.54269284,773.6628003,7.317896252,10.9370129,308.773004,39.82692456,162.9192668,328.2223188,161.0174881,alkaline,Loam,Fall
Cauliflowers,High,Day Neutral,20.60661473,827.4557716,6.418616489,6.508759117,565.6841331,53.14002691,117.5257972,55.23053728,189.4515321,slightly_acidic,Loam,Winter
Green Peas,High,Short Day Period,16.52198109,945.6576409,6.975806631,6.293948976,346.7212742,63.52847589,125.1360071,39.00164924,135.8082231,neutral,Clay Loam,Fall
Eggplants,High,Short Day Period,24.14235222,1351.993328,5.694942766,9.115333438,723.3513946,55.10233993,149.450582,157.1635226,231.6762084,moderately_acidic,Sandy Loam,Spring
Eggplants,High,Short Day Period,24.22884272,1433.15875,5.842507463,10.19390155,538.7983349,51.80531681,140.9998122,155.0894614,229.0242696,moderately_acidic,Sandy Loam,Fall
Broccoli,High,Short Day Period,19.91973928,800.9484895,6.422788865,6.975808049,319.0362483,58.71141898,89.67203226,118.40223,149.7841027,slightly_acidic,Loam,Spring
Beet,High,Short Day Period,23.56947869,725.0561876,6.818482272,6.852556761,105.1906917,99.24730346,141.078878,165.3357188,100.1576265,neutral,Loam,Fall
Watermelon,High,Short Day Period,33.29864207,474.7822792,7.077847587,7.294937053,339.2630899,89.43241423,102.116682,63.61921612,64.71059733,neutral,Sandy Loam,Spring
Arugula,Moderate,Short Day Period,17.89869738,629.2183186,7.886855467,12.52140086,230.0737898,32.69811015,160.2249709,360.0672157,161.5790819,alkaline,Loam,Summer
Radicchio,High,Short Day Period,14.41461708,2249.660651,6.420616542,4.680563376,155.6655453,93.92896297,115.8615529,42.40348419,83.05202893,slightly_acidic,Sandy Clay Loam,Spring
Lettuce,Moderate,Day Neutral,19.53759307,1303.08202,5.743378129,13.73329282,557.2593369,66.24899087,136.7231281,42.82267606,247.6287952,moderately_acidic,Loam,Spring
Arugula,High,Day Neutral,23.17891525,643.46118,7.776007848,11.25193756,281.363293,37.4957782,154.5282504,324.0716062,155.5177857,alkaline,Loam,Spring
Asparagus,High,Short Day Period,19.95608372,941.2100431,6.643301449,8.171743678,404.8552513,49.07302205,177.2741737,117.780218,175.1437084,neutral,Sandy Loam,Spring
Grapes,High,Short Day Period,25.56946937,705.5336387,6.517053311,13.96661846,549.8840112,92.71794619,155.253624,70.32631962,172.2132741,neutral,Sandy Loam,Summer
Asparagus,High,Day Neutral,20.21326404,889.7398634,6.246187708,9.105042272,402.0806118,51.26065039,155.2210608,74.08788529,186.8264047,slightly_acidic,Sandy Loam,Winter
Chard,Moderate,Short Day Period,25.32203774,758.0641391,6.442008381,12.74469882,979.5021196,46.42376067,191.0018432,269.7349859,298.1378123,slightly_acidic,Clay Loam,Fall
Lettuce,Moderate,Long Day Period,14.75016409,1149.998341,6.416024661,14.080844,417.4831129,51.71683427,140.2812791,46.59114325,263.8476049,slightly_acidic,Sandy Loam,Fall
Cucumbers,High,Short Day Period,31.01100952,1125.60779,6.585125801,9.575462925,652.4722632,78.25699599,50.33255624,23.24703182,68.57068271,neutral,Sandy Clay Loam,Summer
Strawberry,Moderate,Short Day Period,17.95326825,644.3210518,6.29300845,12.49674749,492.3852701,95.59909517,191.0113812,109.8054493,246.2937606,slightly_acidic,Loam,Summer
Chilli Peppers,Moderate,Short Day Period,20.93645532,908.7087449,5.699715285,8.513604694,663.7075746,80.91887823,359.2006968,149.0757041,511.8852068,moderately_acidic,Silt Loam,Fall
Chard,Moderate,Day Neutral,19.87141623,637.904392,6.347623991,13.51907655,936.7021951,44.49141377,173.7020074,165.8725344,430.8455337,slightly_acidic,Silt Loam,Fall
Watermelon,High,Short Day Period,33.37877636,809.1484846,6.47695276,7.487886496,280.6152786,90.09639528,100.7363143,36.83063528,59.75558741,slightly_acidic,Sandy Loam,Summer
Grapes,Moderate,Short Day Period,17.29202662,759.1338386,5.253772942,13.1534413,644.4767947,92.14296211,138.2256774,51.26550651,147.0771064,strongly_acidic,Loam,Summer
Chard,High,Short Day Period,23.26567579,786.6381049,6.436201058,11.99826204,952.1817335,41.7320753,178.2695243,232.7778319,450.2694318,slightly_acidic,Sandy Loam,Fall
Broccoli,High,Short Day Period,17.77123047,831.1913517,6.188211635,6.35357829,480.4383854,55.7478748,97.11017421,98.52504673,171.8245378,slightly_acidic,Loam,Summer
Strawberry,Moderate,Short Day Period,11.27296103,758.9550349,6.348410874,12.98765879,529.1011375,92.5991575,181.7581085,118.6899753,249.8991518,slightly_acidic,Loam,Summer
Watermelon,High,Short Day Period,31.1071598,649.898226,6.194915699,6.889985632,239.6084631,90.6859023,91.53044801,41.93829967,69.46088232,slightly_acidic,Sandy Loam,Spring
Chard,High,Short Day Period,19.33527038,708.2184503,6.447828049,13.21066599,917.0575596,42.95143237,111.850457,253.6488926,240.7836693,slightly_acidic,Loam,Fall
Cabbage,High,Short Day Period,22.6033305,931.973136,6.435952192,6.627611895,371.4011177,84.99530922,132.590799,64.97519609,195.4509266,slightly_acidic,Sandy Loam,Summer
Watermelon,Moderate,Day Neutral,35.44716796,607.2813142,6.991650004,6.435306093,263.8648043,90.00864791,90.99101675,40.19224324,57.07146577,neutral,Silt Loam,Spring
Endive,Moderate,Day Neutral,18.16319684,1053.779176,7.408735244,11.46076352,267.1964745,44.09586451,55.43012628,128.9310692,128.0753564,alkaline,Loam,Fall
Asparagus,High,Day Neutral,22.74551522,984.2486174,5.92828479,9.044404344,305.6089499,49.34691352,158.3107817,61.02038571,172.7428291,moderately_acidic,Sandy Loam,Spring
Watermelon,High,Short Day Period,33.17270945,543.9162191,6.384220223,6.552084267,260.176811,90.50245573,94.29789381,34.50025126,53.03232673,slightly_acidic,Loam,Fall
Arugula,Moderate,Day Neutral,17.15083491,545.8964391,7.466275082,11.66762699,260.3219783,41.06667478,163.6316521,323.6335169,154.1595651,alkaline,Loam,Spring
Grapes,High,Day Neutral,20.20908357,739.8026968,7.004028665,12.96014897,600.4051955,92.36403741,126.1821196,51.47687213,114.1177929,neutral,Loam,Fall
Radicchio,Moderate,Short Day Period,22.10822057,1897.344564,6.789400965,5.701486341,152.0905408,95.62994992,136.6218278,40.2903643,86.12149631,neutral,Sandy Loam,Spring
Beet,Moderate,Short Day Period,19.35098033,727.2574919,7.020774303,6.259812239,116.4849747,99.82829504,110.6727687,155.2639664,96.61086175,neutral,Sandy Clay Loam,Fall
Tomatoes,High,Day Neutral,25.09340361,475.5867712,6.402090719,7.073630067,294.0103062,50.59636921,137.7717044,165.1686146,279.7755611,slightly_acidic,Clay Loam,Spring
Cauliflowers,Moderate,Short Day Period,18.52269948,1043.029083,6.201516466,7.390016544,106.0374292,56.22115009,130.6041633,60.64022797,193.975504,slightly_acidic,Loam,Fall
Spinach,Moderate,Short Day Period,14.12485082,1092.531572,6.787186391,12.5160063,209.6458644,29.71438779,121.063251,60.99520407,56.2220498,neutral,Sandy Clay Loam,Spring
Cress,High,Day Neutral,14.61975181,1199.131341,6.222272969,11.353328,317.9576161,46.62652373,69.22135503,118.4396968,109.0468772,slightly_acidic,Loam,Winter
